Graph	Algorithm	Seed	Solution	Time
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-8	3	182	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-8	4	178	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-8	5	178	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-8	6	179	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-8	7	178	2
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-8	8	174	2
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-8	9	178	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-12	1	181	2
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-12	10	185	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-12	2	179	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-12	3	182	2
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-12	4	185	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-12	5	183	2
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-12	6	181	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-12	7	179	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-12	8	180	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-12	9	186	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-16	1	184	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-16	10	186	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-16	2	178	2
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-16	3	180	2
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-16	4	179	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-16	5	175	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-16	6	178	2
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-16	7	186	2
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-16	8	177	2
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-16	9	176	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-24	1	184	3
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-24	10	180	2
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-24	2	178	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-24	3	185	2
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-24	4	181	3
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-24	5	184	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-24	6	182	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-24	7	181	2
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-24	8	180	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-24	9	179	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-2	1	174	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-2	10	177	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-2	2	166	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-2	3	163	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-2	4	169	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-2	5	176	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-2	6	174	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-2	7	166	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-2	8	167	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-2	9	164	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-32	1	181	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-32	10	178	4
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-32	2	179	2
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-32	3	176	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-32	4	180	4
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-32	5	184	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-32	6	176	2
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-32	7	176	4
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-32	8	184	3
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-32	9	177	2
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-3	1	171	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-3	10	166	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-3	2	163	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-3	3	167	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-3	4	165	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-3	5	166	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-3	6	163	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-3	7	165	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-3	8	170	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-3	9	163	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-48	1	181	2
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-48	10	177	5
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-48	2	180	5
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-48	3	175	5
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-48	4	175	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-48	5	181	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-48	6	183	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-48	7	182	5
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-48	8	178	2
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-48	9	184	5
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-4	1	173	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-4	10	174	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-4	2	174	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-4	3	172	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-4	4	171	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-4	5	175	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-4	6	172	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-4	7	174	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-4	8	173	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-4	9	173	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-6	1	183	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-6	10	172	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-6	2	176	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-6	3	180	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-6	4	184	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-6	5	180	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-6	6	177	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-6	7	181	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-6	8	174	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-6	9	179	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-8	1	180	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-8	10	178	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-8	2	183	2
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-8	3	181	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-8	4	178	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-8	5	175	1
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-8	6	178	2
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-8	7	178	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-8	8	174	0
erdos_renyi_n_100_c_7_seed_1.edges	FASDC-8	9	179	1
erdos_renyi_n_100_c_7_seed_1.edges	RED+Greedy	1	187	0
erdos_renyi_n_100_c_7_seed_1.edges	RED+Greedy	10	183	0
erdos_renyi_n_100_c_7_seed_1.edges	RED+Greedy	2	185	0
erdos_renyi_n_100_c_7_seed_1.edges	RED+Greedy	3	187	0
erdos_renyi_n_100_c_7_seed_1.edges	RED+Greedy	4	186	0
erdos_renyi_n_100_c_7_seed_1.edges	RED+Greedy	5	185	0
erdos_renyi_n_100_c_7_seed_1.edges	RED+Greedy	6	185	0
erdos_renyi_n_100_c_7_seed_1.edges	RED+Greedy	7	188	0
erdos_renyi_n_100_c_7_seed_1.edges	RED+Greedy	8	183	0
erdos_renyi_n_100_c_7_seed_1.edges	RED+Greedy	9	187	0
erdos_renyi_n_100_c_7_seed_1.edges	REDstar+Greedy	1	187	0
erdos_renyi_n_100_c_7_seed_1.edges	REDstar+Greedy	10	183	0
erdos_renyi_n_100_c_7_seed_1.edges	REDstar+Greedy	2	185	0
erdos_renyi_n_100_c_7_seed_1.edges	REDstar+Greedy	3	187	0
erdos_renyi_n_100_c_7_seed_1.edges	REDstar+Greedy	4	186	0
erdos_renyi_n_100_c_7_seed_1.edges	REDstar+Greedy	5	185	0
erdos_renyi_n_100_c_7_seed_1.edges	REDstar+Greedy	6	185	0
erdos_renyi_n_100_c_7_seed_1.edges	REDstar+Greedy	7	188	0
erdos_renyi_n_100_c_7_seed_1.edges	REDstar+Greedy	8	183	0
erdos_renyi_n_100_c_7_seed_1.edges	REDstar+Greedy	9	187	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+Greedy	1	187	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+Greedy	10	183	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+Greedy	2	185	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+Greedy	3	187	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+Greedy	4	186	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+Greedy	5	185	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+Greedy	6	185	0
erdos_renyi_n_100_c_7_seed_1.edges	scc+2cyc+Greedy	7	188	0
