Graph	Algorithm	RandomSeed	Solution	Time
Amazon0302	FASDC-6	10	807847	2307
Amazon0302	FASDC-6	2	809986	2778
Amazon0302	FASDC-6	3	809019	2362
Amazon0302	FASDC-6	4	809182	2265
Amazon0302	FASDC-6	5	809198	2099
Amazon0302	FASDC-6	6	809117	2238
Amazon0302	FASDC-6	7	808060	2235
Amazon0302	FASDC-6	8	808798	2258
Amazon0302	FASDC-6	9	808869	2283
Amazon0302	FASDC-8	1	808027	2370
Amazon0302	FASDC-8	10	807238	2229
Amazon0302	FASDC-8	2	809391	2163
Amazon0302	FASDC-8	3	808529	2409
Amazon0302	FASDC-8	4	808782	2357
Amazon0302	FASDC-8	5	808654	2353
Amazon0302	FASDC-8	6	808609	2338
Amazon0302	FASDC-8	7	807552	2168
Amazon0302	FASDC-8	8	808234	2120
Amazon0302	FASDC-8	9	808395	2160
Amazon0302	RED+Greedy	1	830846	1491
Amazon0302	RED+Greedy	10	830098	1460
Amazon0302	RED+Greedy	2	831801	1255
Amazon0302	RED+Greedy	3	831346	1442
Amazon0302	RED+Greedy	4	831258	1492
Amazon0302	RED+Greedy	5	831550	1431
Amazon0302	RED+Greedy	6	831151	1467
Amazon0302	RED+Greedy	7	829933	1482
Amazon0302	RED+Greedy	8	830811	1492
Amazon0302	RED+Greedy	9	831155	1459
Amazon0302	REDstar+Greedy	1	820708	1971
Amazon0302	REDstar+Greedy	10	819816	2048
Amazon0302	REDstar+Greedy	2	821652	1982
Amazon0302	REDstar+Greedy	3	820749	2021
Amazon0302	REDstar+Greedy	4	820938	1970
Amazon0302	REDstar+Greedy	5	821045	1960
Amazon0302	REDstar+Greedy	6	820929	1964
Amazon0302	REDstar+Greedy	7	820031	1967
Amazon0302	REDstar+Greedy	8	820240	1975
Amazon0302	REDstar+Greedy	9	820754	1957
Amazon0302	scc+2cyc+Greedy	1	836832	1291
Amazon0302	scc+2cyc+Greedy	10	835565	1268
Amazon0302	scc+2cyc+Greedy	2	836968	1276
Amazon0302	scc+2cyc+Greedy	3	836745	1298
Amazon0302	scc+2cyc+Greedy	4	836572	1323
Amazon0302	scc+2cyc+Greedy	5	837026	1281
Amazon0302	scc+2cyc+Greedy	6	836729	1257
Amazon0302	scc+2cyc+Greedy	7	835506	1282
Amazon0302	scc+2cyc+Greedy	8	836253	1270
Amazon0302	scc+2cyc+Greedy	9	836484	1277
Amazon0302	scc+2cyc+chain+Greedy	1	836575	1307
Amazon0302	scc+2cyc+chain+Greedy	10	835426	1300
Amazon0302	scc+2cyc+chain+Greedy	2	836880	1285
Amazon0302	scc+2cyc+chain+Greedy	3	836536	1304
Amazon0302	scc+2cyc+chain+Greedy	4	836416	1294
Amazon0302	scc+2cyc+chain+Greedy	5	836909	1299
Amazon0302	scc+2cyc+chain+Greedy	6	836516	1301
Amazon0302	scc+2cyc+chain+Greedy	7	835216	1317
Amazon0302	scc+2cyc+chain+Greedy	8	835753	1290
Amazon0302	scc+2cyc+chain+Greedy	9	836215	1316
Amazon0302	scc+Greedy	1	907517	565
Amazon0302	scc+Greedy	10	906561	1072
Amazon0302	scc+Greedy	2	908117	1061
Amazon0302	scc+Greedy	3	908387	959
Amazon0302	scc+Greedy	4	908549	1049
Amazon0302	scc+Greedy	5	908591	1071
Amazon0302	scc+Greedy	6	908212	1128
Amazon0302	scc+Greedy	7	907498	1067
Amazon0302	scc+Greedy	8	907512	1075
Amazon0302	scc+Greedy	9	907711	1000
Amazon0312	Greedy	1	2332279	1854
Amazon0312	Greedy	10	2332427	1772
Amazon0312	Greedy	2	2332753	1909
Amazon0312	Greedy	3	2333310	1786
Amazon0312	Greedy	4	2330679	1904
Amazon0312	Greedy	5	2332340	1864
Amazon0312	Greedy	6	2332157	1871
Amazon0312	Greedy	7	2330024	1893
Amazon0312	Greedy	8	2330902	1855
Amazon0312	Greedy	9	2332017	1709
Amazon0312	HCS+Greedy	1	2315111	5553
Amazon0312	HCS+Greedy	10	2313825	7074
Amazon0312	HCS+Greedy	2	2314397	5843
Amazon0312	HCS+Greedy	3	2315575	7243
Amazon0312	HCS+Greedy	4	2312715	7807
Amazon0312	HCS+Greedy	5	2315048	7748
Amazon0312	HCS+Greedy	6	2313866	7392
Amazon0312	HCS+Greedy	7	2311581	8550
Amazon0312	HCS+Greedy	8	2312600	7615
Amazon0312	HCS+Greedy	9	2313860	7184
Amazon0312	SimFASDC-12	1	2129667	7866
Amazon0312	SimFASDC-12	10	2128255	7900
