Graph	Algorithm	RandomSeed	Solution	Time
Amazon0302	scc+2cyc+Greedy	6	337181	1152
Amazon0302	scc+2cyc+Greedy	7	337173	1139
Amazon0302	scc+2cyc+Greedy	8	337188	1134
Amazon0302	scc+2cyc+Greedy	9	337191	1150
Amazon0302	scc+2cyc+chain+Greedy	1	337190	1138
Amazon0302	scc+2cyc+chain+Greedy	10	337184	1163
Amazon0302	scc+2cyc+chain+Greedy	2	337179	1138
Amazon0302	scc+2cyc+chain+Greedy	3	337202	1163
Amazon0302	scc+2cyc+chain+Greedy	4	337185	1134
Amazon0302	scc+2cyc+chain+Greedy	5	337173	1150
Amazon0302	scc+2cyc+chain+Greedy	6	337189	1148
Amazon0302	scc+2cyc+chain+Greedy	7	337179	1150
Amazon0302	scc+2cyc+chain+Greedy	8	337187	1168
Amazon0302	scc+2cyc+chain+Greedy	9	337188	1151
Amazon0302	scc+Greedy	1	352086	833
Amazon0302	scc+Greedy	10	352083	990
Amazon0302	scc+Greedy	2	352141	994
Amazon0302	scc+Greedy	3	352116	948
Amazon0302	scc+Greedy	4	352149	877
Amazon0302	scc+Greedy	5	352127	932
Amazon0302	scc+Greedy	6	352096	897
Amazon0302	scc+Greedy	7	352105	940
Amazon0302	scc+Greedy	8	352092	963
Amazon0302	scc+Greedy	9	352081	944
Amazon0312	Greedy	1	872479	1516
Amazon0312	Greedy	10	872580	1496
Amazon0312	Greedy	2	872539	1472
Amazon0312	Greedy	3	872566	1402
Amazon0312	Greedy	4	872457	1461
Amazon0312	Greedy	5	872546	632
Amazon0312	Greedy	6	872552	1449
Amazon0312	Greedy	7	872630	1428
Amazon0312	Greedy	8	872576	1435
Amazon0312	Greedy	9	872512	1440
Amazon0312	HCS+Greedy	1	869259	7291
Amazon0312	HCS+Greedy	10	869260	7696
Amazon0312	HCS+Greedy	2	869259	8166
Amazon0312	HCS+Greedy	3	869272	7874
Amazon0312	HCS+Greedy	4	869261	6615
Amazon0312	HCS+Greedy	5	869163	7932
Amazon0312	HCS+Greedy	6	869304	8056
Amazon0312	HCS+Greedy	7	869301	7891
Amazon0312	HCS+Greedy	8	869340	8162
Amazon0312	HCS+Greedy	9	869253	7917
Amazon0312	SimFASDC-12	1	850707	2998
Amazon0312	SimFASDC-12	10	850707	2947
Amazon0312	SimFASDC-12	2	850706	3071
Amazon0312	SimFASDC-12	3	850706	2950
Amazon0312	SimFASDC-12	4	850707	3012
Amazon0312	SimFASDC-12	5	850707	2999
Amazon0312	SimFASDC-12	6	850706	2946
Amazon0312	SimFASDC-12	7	850706	2986
Amazon0312	SimFASDC-12	8	850706	3000
Amazon0312	SimFASDC-12	9	850706	2954
Amazon0312	SimFASDC-16	1	850707	2962
Amazon0312	SimFASDC-16	10	850707	2990
Amazon0312	SimFASDC-16	2	850706	2988
Amazon0312	SimFASDC-16	3	850706	2993
Amazon0312	SimFASDC-16	4	850707	2573
Amazon0312	SimFASDC-16	5	850707	2972
Amazon0312	SimFASDC-16	6	850706	2986
Amazon0312	SimFASDC-16	7	850706	2982
Amazon0312	SimFASDC-16	8	850706	2926
Amazon0312	SimFASDC-16	9	850706	2992
Amazon0312	SimFASDC-24	1	850707	2993
Amazon0312	SimFASDC-24	10	850707	3037
Amazon0312	SimFASDC-24	2	850706	3001
Amazon0312	SimFASDC-24	3	850706	2996
